Name,Height,Width,HeadRatio,HeadHeight,TopDist
One inch,413,295,0.20,0.45,0.12
Two inches,626,413,0.40,0.45,0.15
Small one inch,378,260,0.18,0.45,0.12
Small two inches,531,413,0.40,0.45,0.15
Large one inch,567,390,0.25,0.45,0.12
Large two inches,626,413,0.40,0.45,0.15
Five inches,1499,1050,0.20,0.45,0.10
Teacher qualification certificate,413,295,0.30,0.45,0.12
National civil service exa,413,295,0.40,0.45,0.15
Primary accounting exam,413,295,0.40,0.45,0.15
English CET-4 and CET-6 exams,192,144,0.25,0.45,0.12
Computer level exam,567,390,0.25,0.45,0.12
Graduate entrance exam,709,531,0.30,0.45,0.12
Social security card,441,358,0.30,0.45,0.12
Electronic driver's license,378,260,0.20,0.45,0.12
American visa,600,600,0.30,0.50,0.12
Japanese visa,413,295,0.40,0.45,0.15
Korean visa,531,413,0.40,0.45,0.15
